Time(s), N2(mol/L), H2(mol/L), NH3(mol/L)
0.0, 40.0, 100.0, 0.0
0.1, 39.20, 97.60, 1.60
0.2, 38.43, 95.30, 3.13
0.3, 37.70, 93.11, 4.60
0.4, 37.00, 91.00, 6.00
0.5, 36.33, 88.98, 7.35
0.6, 35.68, 87.04, 8.64
0.7, 35.06, 85.18, 9.88
0.8, 34.46, 83.39, 11.07
0.9, 33.89, 81.67, 12.22
1.0, 33.34, 80.01, 13.33
1.1, 32.80, 78.41, 14.39
1.2, 32.29, 76.87, 15.42
1.3, 31.79, 75.38, 16.41
1.4, 31.32, 73.95, 17.37
1.5, 30.85, 72.56, 18.29
1.6, 30.41, 71.22, 19.19
1.7, 29.97, 69.92, 20.05
1.8, 29.56, 68.67, 20.89
1.9, 29.15, 67.45, 21.70
2.0, 28.76, 66.28, 22.48
2.1, 28.38, 65.14, 23.24
2.2, 28.01, 64.03, 23.98
2.3, 27.65, 62.96, 24.69
2.4, 27.31, 61.92, 25.39
2.5, 26.97, 60.91, 26.06
2.6, 26.64, 59.93, 26.72
2.7, 26.32, 58.97, 27.35
2.8, 26.02, 58.05, 27.97
2.9, 25.71, 57.14, 28.57
3.0, 25.42, 56.27, 29.16
3.1, 25.14, 55.41, 29.73
3.2, 24.86, 54.58, 30.28
3.3, 24.59, 53.77, 30.82
3.4, 24.33, 52.98, 31.35
3.5, 24.07, 52.21, 31.86
3.6, 23.82, 51.46, 32.36
3.7, 23.58, 50.73, 32.84
3.8, 23.34, 50.02, 33.32
3.9, 23.11, 49.33, 33.78
4.0, 22.88, 48.65, 34.24
4.1, 22.66, 47.98, 34.68
4.2, 22.45, 47.34, 35.11
4.3, 22.23, 46.70, 35.53
4.4, 22.03, 46.09, 35.94
4.5, 21.83, 45.48, 36.34
4.6, 21.63, 44.89, 36.74
4.7, 21.44, 44.32, 37.12
4.8, 21.25, 43.75, 37.50
4.9, 21.07, 43.20, 37.87
5.0, 20.89, 42.66, 38.23
5.1, 20.71, 42.13, 38.58
5.2, 20.54, 41.61, 38.93
5.3, 20.37, 41.11, 39.26
5.4, 20.20, 40.61, 39.59
5.5, 20.04, 40.12, 39.92
5.6, 19.88, 39.65, 40.24
5.7, 19.73, 39.18, 40.55
5.8, 19.57, 38.72, 40.85
5.9, 19.42, 38.27, 41.15
6.0, 19.28, 37.83, 41.44
6.1, 19.13, 37.40, 41.73
6.2, 18.99, 36.98, 42.01
6.3, 18.85, 36.56, 42.29
6.4, 18.72, 36.16, 42.56
6.5, 18.59, 35.76, 42.83
6.6, 18.45, 35.36, 43.09
6.7, 18.33, 34.98, 43.35
6.8, 18.20, 34.60, 43.60
6.9, 18.08, 34.23, 43.85
7.0, 17.95, 33.86, 44.09
7.1, 17.84, 33.51, 44.33
7.2, 17.72, 33.15, 44.56
7.3, 17.60, 32.81, 44.79
7.4, 17.49, 32.47, 45.02
7.5, 17.38, 32.14, 45.24
7.6, 17.27, 31.81, 45.46
7.7, 17.16, 31.48, 45.68
7.8, 17.06, 31.17, 45.89
7.9, 16.95, 30.85, 46.10
8.0, 16.85, 30.55, 46.30
8.1, 16.75, 30.25, 46.50
8.2, 16.65, 29.95, 46.70
8.3, 16.55, 29.66, 46.90
8.4, 16.46, 29.37, 47.09
8.5, 16.36, 29.09, 47.28
8.6, 16.27, 28.81, 47.46
8.7, 16.18, 28.53, 47.64
8.8, 16.09, 28.26, 47.82
8.9, 16.00, 28.00, 48.00
9.0, 15.91, 27.74, 48.18
9.1, 15.83, 27.48, 48.35
9.2, 15.74, 27.23, 48.52
9.3, 15.66, 26.98, 48.68
9.4, 15.58, 26.73, 48.85
9.5, 15.50, 26.49, 49.01
9.6, 15.42, 26.25, 49.17
9.7, 15.34, 26.01, 49.32
9.8, 15.26, 25.78, 49.48
9.9, 15.18, 25.55, 49.63
10.0, 15.11, 25.33, 49.78
10.1, 15.03, 25.10, 49.93
10.2, 14.96, 24.89, 50.08
10.3, 14.89, 24.67, 50.22
10.4, 14.82, 24.46, 50.36
10.5, 14.75, 24.25, 50.50
10.6, 14.68, 24.04, 50.64
10.7, 14.61, 23.84, 50.78
10.8, 14.54, 23.63, 50.91
10.9, 14.48, 23.44, 51.04
11.0, 14.41, 23.24, 51.17
11.1, 14.35, 23.05, 51.30
11.2, 14.29, 22.86, 51.43
11.3, 14.22, 22.67, 51.55
11.4, 14.16, 22.48, 51.68
11.5, 14.10, 22.30, 51.80
11.6, 14.04, 22.12, 51.92
11.7, 13.98, 21.94, 52.04
11.8, 13.92, 21.76, 52.16
11.9, 13.86, 21.59, 52.27
12.0, 13.81, 21.42, 52.39
12.1, 13.75, 21.25, 52.50
12.2, 13.69, 21.08, 52.61
12.3, 13.64, 20.92, 52.72
12.4, 13.58, 20.75, 52.83
12.5, 13.53, 20.59, 52.94
12.6, 13.48, 20.43, 53.05
12.7, 13.42, 20.27, 53.15
12.8, 13.37, 20.12, 53.25
12.9, 13.32, 19.97, 53.36
13.0, 13.27, 19.81, 53.46
13.1, 13.22, 19.66, 53.56
13.2, 13.17, 19.52, 53.66
13.3, 13.12, 19.37, 53.75
13.4, 13.08, 19.23, 53.85
13.5, 13.03, 19.08, 53.94
13.6, 12.98, 18.94, 54.04
13.7, 12.93, 18.80, 54.13
13.8, 12.89, 18.66, 54.22
13.9, 12.84, 18.53, 54.31
14.0, 12.80, 18.39, 54.40
14.1, 12.75, 18.26, 54.49
14.2, 12.71, 18.13, 54.58
14.3, 12.67, 18.00, 54.67
14.4, 12.62, 17.87, 54.75
14.5, 12.58, 17.74, 54.84
14.6, 12.54, 17.62, 54.92
14.7, 12.50, 17.49, 55.00
14.8, 12.46, 17.37, 55.09
14.9, 12.42, 17.25, 55.17
15.0, 12.38, 17.13, 55.25
15.1, 12.34, 17.01, 55.33
15.2, 12.30, 16.89, 55.41
15.3, 12.26, 16.78, 55.48
15.4, 12.22, 16.66, 55.56
15.5, 12.18, 16.55, 55.64
15.6, 12.14, 16.43, 55.71
15.7, 12.11, 16.32, 55.78
15.8, 12.07, 16.21, 55.86
15.9, 12.03, 16.10, 55.93
16.0, 12.00, 16.00, 56.00
16.1, 11.96, 15.89, 56.07
16.2, 11.93, 15.78, 56.14
16.3, 11.89, 15.68, 56.21
16.4, 11.86, 15.58, 56.28
16.5, 11.82, 15.47, 56.35
16.6, 11.79, 15.37, 56.42
16.7, 11.76, 15.27, 56.49
16.8, 11.72, 15.17, 56.55
16.9, 11.69, 15.07, 56.62
17.0, 11.66, 14.98, 56.68
17.1, 11.63, 14.88, 56.75
17.2, 11.59, 14.78, 56.81
17.3, 11.56, 14.69, 56.87
17.4, 11.53, 14.60, 56.94
17.5, 11.50, 14.50, 57.00
17.6, 11.47, 14.41, 57.06
17.7, 11.44, 14.32, 57.12
17.8, 11.41, 14.23, 57.18
17.9, 11.38, 14.14, 57.24
18.0, 11.35, 14.06, 57.30
18.1, 11.32, 13.97, 57.35
18.2, 11.29, 13.88, 57.41
18.3, 11.27, 13.80, 57.47
18.4, 11.24, 13.71, 57.53
18.5, 11.21, 13.63, 57.58
18.6, 11.18, 13.55, 57.64
18.7, 11.15, 13.46, 57.69
18.8, 11.13, 13.38, 57.75
18.9, 11.10, 13.30, 57.80
19.0, 11.07, 13.22, 57.85
19.1, 11.05, 13.14, 57.91
19.2, 11.02, 13.06, 57.96
19.3, 11.00, 12.99, 58.01
19.4, 10.97, 12.91, 58.06
19.5, 10.94, 12.83, 58.11
19.6, 10.92, 12.76, 58.16
19.7, 10.89, 12.68, 58.21
19.8, 10.87, 12.61, 58.26
19.9, 10.84, 12.53, 58.31
20.0, 10.82, 12.46, 58.36
